Years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Businesses opened (Items),797000,850000,908000,864000,875000,899000,946000,950000,957000,995000,105800,1154000
        Businesses closed (Items),912000,819000,789000,769000,783000,798000,810000,844000,867000,878000,1005000,964000
